,Target,CV,Within-group std
0,Mean size[nm],0.21618492735430347,0.4495773213058574
1,Mode size[nm],0.22820318598349953,0.45789126643917644
2,UFB concentration [×10^7 particles/ml],0.6363944553256558,0.3491053066465943
3,MB concentration [particles/mL],0.6875226862056121,0.16677279779829524
4,Size (bin) [µm],0.06804457649672713,0.23589345945116988
5,Oxygen content[mg/L],0.11196226754892732,0.2887711354472403
