,MB concentration [particles/mL],UFB concentration [×10^7 particles/mL],Oxygen content [mg/L]
Dissolve tube [m],0.16134612337631812,-0.04495511859013762,-0.03619884152170548
Dissolution pressure [MPa],0.10797669870573501,0.06686314671742631,0.16719501617661636
Discharge tube [m],-0.4631050063222151,0.07335857087839177,0.6489626680505989
Flow speed (oxygen) [mL/min],-0.22742768590120263,0.3756476569038617,-0.005151443375691729
Flow speed (water) [mL/min],0.2274276859012026,-0.37564765690386154,0.005151443375691742
Water volume [mL],0.12565613900523256,-0.3986353014058567,-0.08171181990233478
